copy;common;0;1;1;1;O0;1.21;
copy;common;0;1;2;1;O0;2.15;
copy;common;0;1;4;1;O0;4.23;
copy;common;0;1;8;1;O0;7.77;
copy;common;0;1;16;1;O0;12.02;
copy;common;0;1;24;1;O0;12.76;
copy;common;1;1;1;1;O0;1.22;
copy;common;1;1;2;1;O0;2.13;
copy;common;1;1;4;1;O0;4.19;
copy;common;1;1;8;1;O0;7.77;
copy;common;1;1;16;1;O0;12.90;
copy;common;1;1;24;1;O0;14.56;
copy;common;2;1;1;1;O0;2.27;
copy;common;2;1;2;1;O0;3.94;
copy;common;2;1;4;1;O0;6.10;
copy;common;2;1;8;1;O0;9.92;
copy;common;2;1;16;1;O0;14.35;
copy;common;2;1;24;1;O0;14.78;
copy;common;3;1;1;1;O0;0.32;
copy;common;3;1;2;1;O0;0.64;
copy;common;3;1;4;1;O0;1.21;
copy;common;3;1;8;1;O0;2.23;
copy;common;3;1;16;1;O0;3.36;
copy;common;3;1;24;1;O0;3.59;
copy;common;0;2;1;1;O0;1.21;
copy;common;0;2;2;1;O0;2.34;
copy;common;0;2;4;1;O0;4.26;
copy;common;0;2;8;1;O0;7.83;
copy;common;0;2;16;1;O0;12.03;
copy;common;0;2;24;1;O0;13.48;
copy;common;1;2;1;1;O0;1.21;
copy;common;1;2;2;1;O0;2.33;
copy;common;1;2;4;1;O0;4.27;
copy;common;1;2;8;1;O0;7.83;
copy;common;1;2;16;1;O0;12.09;
copy;common;1;2;24;1;O0;12.99;
copy;common;2;2;1;1;O0;2.28;
copy;common;2;2;2;1;O0;4.05;
copy;common;2;2;4;1;O0;5.95;
copy;common;2;2;8;1;O0;9.81;
copy;common;2;2;16;1;O0;13.58;
copy;common;2;2;24;1;O0;13.53;
copy;common;3;2;1;1;O0;0.32;
copy;common;3;2;2;1;O0;0.64;
copy;common;3;2;4;1;O0;1.23;
copy;common;3;2;8;1;O0;2.45;
copy;common;3;2;16;1;O0;3.48;
copy;common;3;2;24;1;O0;3.69;
copy;common;0;3;1;1;O0;1.21;
copy;common;0;3;2;1;O0;2.37;
copy;common;0;3;4;1;O0;4.52;
copy;common;0;3;8;1;O0;7.83;
copy;common;0;3;16;1;O0;12.04;
copy;common;0;3;24;1;O0;12.86;
copy;common;1;3;1;1;O0;1.21;
copy;common;1;3;2;1;O0;2.37;
copy;common;1;3;4;1;O0;4.53;
copy;common;1;3;8;1;O0;7.89;
copy;common;1;3;16;1;O0;12.02;
copy;common;1;3;24;1;O0;13.01;
copy;common;2;3;1;1;O0;2.29;
copy;common;2;3;2;1;O0;4.11;
